Date,BRL_spot_FX_rate,Date,Current_account,Date,Trade_balance,Date,Implied_rate,Date,REER,Date,MOV_AVG_200D,Date,MOV_AVG_50D
6/8/18,3.7083,3/31/18,-0.4,5/31/18,5981,6/8/18,6.3487,6/7/18,64.6053,6/8/18,3.3049,6/8/18,3.5468
6/7/18,3.9071,12/31/17,-0.48,4/30/18,5935,6/7/18,6.2803,6/6/18,66.2307,6/7/18,3.302,6/7/18,3.5385
6/6/18,3.851,9/30/17,-0.62,3/31/18,6420,6/6/18,5.7569,6/5/18,67.3333,6/6/18,3.2983,6/6/18,3.5266
6/5/18,3.8094,6/30/17,-0.72,2/28/18,5002,6/5/18,5.719,6/4/18,67.783,6/5/18,3.2948,6/5/18,3.5158
6/4/18,3.7456,3/31/17,-1.03,1/31/18,2816,6/4/18,5.9129,6/1/18,67.5631,6/4/18,3.2918,6/4/18,3.5059
6/1/18,3.7655,12/31/16,-1.29,12/31/17,4998,6/1/18,5.8308,5/31/18,68.1205,6/1/18,3.289,6/1/18,3.4965
5/30/18,3.7239,9/30/16,-1.4,11/30/17,3546,5/31/18,5.7405,5/30/18,67.7661,5/30/18,3.286,5/30/18,3.4874
5/29/18,3.7276,6/30/16,-1.81,10/31/17,5201,5/30/18,5.6293,5/29/18,68.2486,5/29/18,3.2832,5/29/18,3.4787
5/28/18,3.7375,3/31/16,-2.48,9/30/17,5178,5/29/18,5.7129,5/25/18,69.3282,5/28/18,3.2802,5/28/18,3.4697
5/25/18,3.6536,12/31/15,-3.19,8/31/17,5599,5/28/18,5.8021,5/24/18,69.5723,5/25/18,3.2771,5/25/18,3.4607
5/24/18,3.6474,9/30/15,-3.88,7/31/17,6298,5/25/18,5.7211,5/23/18,69.6332,5/24/18,3.2745,5/24/18,3.4528
5/23/18,3.6288,6/30/15,-4.19,6/30/17,7195,5/24/18,5.5835,5/22/18,69.5186,5/23/18,3.2719,5/23/18,3.4451
5/22/18,3.648,3/31/15,-4.37,5/31/17,7661,5/23/18,5.6366,5/21/18,68.2241,5/22/18,3.2693,5/22/18,3.4378
5/21/18,3.6771,12/31/14,-4.3,4/30/17,6969,5/22/18,5.7517,5/18/18,67.7925,5/21/18,3.2667,5/21/18,3.4299
5/18/18,3.7375,9/30/14,-3.81,3/31/17,7145,5/21/18,5.72,5/17/18,68.1995,5/18/18,3.2639,5/18/18,3.4217
5/17/18,3.6972,6/30/14,-3.61,2/28/17,4560,5/18/18,5.805,5/16/18,68.6357,5/17/18,3.2609,5/17/18,3.4118
5/16/18,3.6747,3/31/14,-3.33,1/31/17,2724,5/17/18,5.6654,5/15/18,69.0215,5/16/18,3.2582,5/16/18,3.4021
5/15/18,3.6553,12/31/13,-3.05,12/31/16,4415,5/16/18,5.5657,5/14/18,69.3023,5/15/18,3.2555,5/15/18,3.3934
5/14/18,3.6221,9/30/13,-3.18,11/30/16,4756,5/15/18,5.7393,5/11/18,69.6482,5/14/18,3.2531,5/14/18,3.3854
5/11/18,3.6002,6/30/13,-3.06,10/31/16,2346,5/14/18,5.8279,5/10/18,70.4562,5/11/18,3.2507,5/11/18,3.378
5/10/18,3.5496,3/31/13,-3.29,9/30/16,3802,5/11/18,6.0343,5/9/18,69.7617,5/10/18,3.2484,5/10/18,3.3709
5/9/18,3.5926,12/31/12,-3.04,8/31/16,4140,5/10/18,5.9619,5/8/18,70.1178,5/9/18,3.2463,5/9/18,3.3649
5/8/18,3.5632,9/30/12,-2.91,7/31/16,4577,5/9/18,5.8594,5/7/18,70.2893,5/8/18,3.244,5/8/18,3.3576
5/7/18,3.5503,6/30/12,-3.01,6/30/16,3975,5/8/18,5.9593,5/4/18,70.7315,5/7/18,3.242,5/7/18,3.3511
5/4/18,3.5285,3/31/12,-2.8,5/31/16,6439,5/7/18,5.9885,5/3/18,70.2138,5/4/18,3.2402,5/4/18,3.3451
5/3/18,3.5272,12/31/11,-2.95,4/30/16,4862,5/4/18,6.0678,5/2/18,70.1704,5/3/18,3.2384,5/3/18,3.3399
5/2/18,3.5518,9/30/11,-2.93,3/31/16,4435,5/3/18,5.8892,5/1/18,70.5404,5/2/18,3.2369,5/2/18,3.3344
4/30/18,3.5063,6/30/11,-3.04,2/29/16,3042,5/2/18,5.8436,4/30/18,70.812,4/30/18,3.2351,4/30/18,3.328
4/27/18,3.4578,3/31/11,-3.31,1/31/16,922,5/1/18,5.9072,4/27/18,71.1307,4/27/18,3.2339,4/27/18,3.3225
4/26/18,3.4753,12/31/10,-3.42,12/31/15,6239,4/30/18,5.921,4/26/18,70.5622,4/26/18,3.2329,4/26/18,3.318
4/25/18,3.4848,9/30/10,-3.18,11/30/15,1196,4/27/18,5.7345,4/25/18,70.1538,4/25/18,3.2319,4/25/18,3.313
4/24/18,3.4724,6/30/10,-2.66,10/31/15,1995,4/26/18,5.603,4/24/18,70.7273,4/24/18,3.231,4/24/18,3.3093
4/23/18,3.4525,3/31/10,-1.99,9/30/15,2944,4/25/18,5.6486,4/23/18,71.2802,4/23/18,3.23,4/23/18,3.3056
4/20/18,3.4135,12/31/09,-1.5,8/31/15,2689,4/24/18,5.6115,4/20/18,71.6395,4/20/18,3.2293,4/20/18,3.302
4/19/18,3.3849,9/30/09,-1.27,7/31/15,2386,4/23/18,5.6507,4/19/18,71.5736,4/19/18,3.2288,4/19/18,3.2984
4/18/18,3.3802,6/30/09,-1.21,6/30/15,4527,4/20/18,5.6172,4/18/18,71.9077,4/18/18,3.2284,4/18/18,3.2958
4/17/18,3.4078,3/31/09,-1.42,5/31/15,2761,4/19/18,5.6227,4/17/18,71.6285,4/17/18,3.228,4/17/18,3.2925
4/16/18,3.4187,12/31/08,-1.65,4/30/15,491,4/18/18,5.663,4/16/18,71.0661,4/16/18,3.2274,4/16/18,3.2878
4/13/18,3.423,9/30/08,-1.42,3/31/15,458,4/17/18,5.6722,4/13/18,71.4389,4/13/18,3.2268,4/13/18,3.2832
4/12/18,3.4129,6/30/08,-1.04,2/28/15,-2842,4/16/18,5.6411,4/12/18,71.9406,4/12/18,3.2262,4/12/18,3.2783
4/11/18,3.3745,3/31/08,-0.53,1/31/15,-3174,4/13/18,5.5655,4/11/18,71.596,4/11/18,3.2259,4/11/18,3.2732
4/10/18,3.4098,12/31/07,0.13,12/31/14,293,4/12/18,5.6556,4/10/18,71.2792,4/10/18,3.2257,4/10/18,3.2686
4/9/18,3.4219,9/30/07,0.54,11/30/14,-2350,4/11/18,5.8371,4/9/18,71.8751,4/9/18,3.2253,4/9/18,3.2634
4/6/18,3.3694,6/30/07,1.1,10/31/14,-1177,4/10/18,5.8756,4/6/18,72.573,4/6/18,3.2249,4/6/18,3.2578
4/5/18,3.3457,3/31/07,1.07,9/30/14,-939,4/9/18,5.8996,4/5/18,73.5716,4/5/18,3.2244,4/5/18,3.2552
4/4/18,3.3303,12/31/06,1.22,8/31/14,1166,4/6/18,5.66,4/4/18,72.8663,4/4/18,3.2241,4/4/18,3.2524
4/3/18,3.341,9/30/06,1.25,7/31/14,1574,4/5/18,5.6091,4/3/18,73.4632,4/3/18,3.2239,4/3/18,3.2497
4/2/18,3.3132,6/30/06,1.14,6/30/14,2365,4/4/18,5.6759,4/2/18,73.5103,4/2/18,3.2237,4/2/18,3.2471
3/29/18,3.3063,3/31/06,1.34,5/31/14,712,4/3/18,5.6994,3/30/18,73.7001,3/29/18,3.2238,3/29/18,3.2453
3/28/18,3.3216,12/31/05,1.53,4/30/14,506,4/2/18,5.7734,3/29/18,73.4416,3/28/18,3.2237,3/28/18,3.2436
3/27/18,3.3262,9/30/05,1.51,3/31/14,116,3/30/18,5.7092,3/28/18,73.0208,3/27/18,3.2234,3/27/18,3.2415
3/26/18,3.3143,6/30/05,1.66,2/28/14,-2129,3/29/18,5.604,3/27/18,73.1071,3/26/18,3.2231,3/26/18,3.2391
3/23/18,3.3123,3/31/05,1.83,1/31/14,-4067,3/28/18,5.6181,3/26/18,73.5896,3/23/18,3.223,3/23/18,3.2371
3/22/18,3.3147,12/31/04,1.77,12/31/13,2640,3/27/18,5.7273,3/23/18,73.7325,3/22/18,3.2229,3/22/18,3.2355
3/21/18,3.273,9/30/04,1.57,11/30/13,1729,3/26/18,5.6941,3/22/18,74.0982,3/21/18,3.2225,3/21/18,3.2342
3/20/18,3.3115,6/30/04,1.31,10/31/13,-240,3/23/18,5.8606,3/21/18,74.4529,3/20/18,3.2224,3/20/18,3.2335
3/19/18,3.2867,3/31/04,0.94,9/30/13,1982,3/22/18,5.7617,3/20/18,74.3417,3/19/18,3.222,3/19/18,3.2318
3/16/18,3.2802,12/31/03,0.72,8/31/13,1215,3/21/18,5.8399,3/19/18,74.4025,3/16/18,3.2219,3/16/18,3.2307
3/15/18,3.2862,9/30/03,0.65,7/31/13,-1907,3/20/18,5.9577,3/16/18,74.42,3/15/18,3.2217,3/15/18,3.2299
3/14/18,3.261,6/30/03,0.3,6/30/13,2301,3/19/18,5.9196,3/15/18,74.4993,3/14/18,3.2216,3/14/18,3.2294
3/13/18,3.2613,3/31/03,-0.62,5/31/13,757,3/16/18,5.9623,3/14/18,74.7772,3/13/18,3.2217,3/13/18,3.2304
3/12/18,3.2616,12/31/02,-1.2,4/30/13,-1007,3/15/18,5.8215,3/13/18,74.9833,3/12/18,3.2218,3/12/18,3.2315
3/9/18,3.2555,9/30/02,-2.19,3/31/13,152,3/14/18,5.6391,3/12/18,74.9408,3/9/18,3.2218,3/9/18,3.2326
3/8/18,3.2645,6/30/02,-3.28,2/28/13,-1286,3/13/18,5.7484,3/9/18,75.2297,3/8/18,3.2219,3/8/18,3.2336
3/7/18,3.2433,3/31/02,-3.55,1/31/13,-4048,3/12/18,5.8041,3/8/18,75.0858,3/7/18,3.2218,3/7/18,3.2351
3/6/18,3.2109,12/31/01,-4.1,12/31/12,2243,3/9/18,5.9511,3/7/18,75.4698,3/6/18,3.2225,3/6/18,3.2364
3/5/18,3.243,9/30/01,-4.39,11/30/12,-194,3/8/18,5.7988,3/6/18,75.6832,3/5/18,3.2221,3/5/18,3.2381
3/2/18,3.2532,6/30/01,-4.28,10/31/12,1650,3/7/18,5.8697,3/5/18,75.2718,3/2/18,3.2214,3/2/18,3.239
3/1/18,3.2515,3/31/01,-4.17,9/30/12,2553,3/6/18,5.9807,3/2/18,75.2485,3/1/18,3.2207,3/1/18,3.2397
2/28/18,3.2475,12/31/00,-3.73,8/31/12,3221,3/5/18,5.9284,3/1/18,75.7641,2/28/18,3.22,2/28/18,3.2408
