Date,MOV_AVG_50D
6/8/18,3.5468
6/7/18,3.5385
6/6/18,3.5266
6/5/18,3.5158
6/4/18,3.5059
6/1/18,3.4965
5/30/18,3.4874
5/29/18,3.4787
5/28/18,3.4697
5/25/18,3.4607
5/24/18,3.4528
5/23/18,3.4451
5/22/18,3.4378
5/21/18,3.4299
5/18/18,3.4217
5/17/18,3.4118
5/16/18,3.4021
5/15/18,3.3934
5/14/18,3.3854
5/11/18,3.378
5/10/18,3.3709
5/9/18,3.3649
5/8/18,3.3576
5/7/18,3.3511
5/4/18,3.3451
5/3/18,3.3399
5/2/18,3.3344
4/30/18,3.328
4/27/18,3.3225
4/26/18,3.318
4/25/18,3.313
4/24/18,3.3093
4/23/18,3.3056
4/20/18,3.302
4/19/18,3.2984
4/18/18,3.2958
4/17/18,3.2925
4/16/18,3.2878
4/13/18,3.2832
4/12/18,3.2783
4/11/18,3.2732
4/10/18,3.2686
4/9/18,3.2634
4/6/18,3.2578
4/5/18,3.2552
4/4/18,3.2524
4/3/18,3.2497
4/2/18,3.2471
3/29/18,3.2453
3/28/18,3.2436
3/27/18,3.2415
3/26/18,3.2391
3/23/18,3.2371
3/22/18,3.2355
3/21/18,3.2342
3/20/18,3.2335
3/19/18,3.2318
3/16/18,3.2307
3/15/18,3.2299
3/14/18,3.2294
3/13/18,3.2304
3/12/18,3.2315
3/9/18,3.2326
3/8/18,3.2336
3/7/18,3.2351
3/6/18,3.2364
3/5/18,3.2381
3/2/18,3.239
3/1/18,3.2397
2/28/18,3.2408
2/27/18,3.2425
2/26/18,3.2438
2/23/18,3.2457
2/22/18,3.247
2/21/18,3.2479
2/20/18,3.2484
2/19/18,3.2481
2/16/18,3.2482
2/15/18,3.2485
2/14/18,3.2491
2/9/18,3.2499
2/8/18,3.2488
2/7/18,3.2473
2/6/18,3.2464
2/5/18,3.2464
2/2/18,3.2457
2/1/18,3.2459
1/31/18,3.2475
1/30/18,3.2489
1/29/18,3.2505
1/26/18,3.2529
1/25/18,3.2563
1/24/18,3.2589
1/23/18,3.2617
1/22/18,3.262
1/19/18,3.2629
1/18/18,3.2645
1/17/18,3.2653
1/16/18,3.2671
1/15/18,3.2679
1/12/18,3.2691
1/11/18,3.2706
1/10/18,3.271
1/9/18,3.2722
1/8/18,3.2719
1/5/18,3.2722
1/4/18,3.2723
1/3/18,3.2715
1/2/18,3.2702
12/29/17,3.2684
12/28/17,3.2653
12/27/17,3.2625
12/26/17,3.2591
12/22/17,3.2563
12/21/17,3.2532
12/20/17,3.2508
12/19/17,3.248
12/18/17,3.2453
12/15/17,3.2422
12/14/17,3.239
12/13/17,3.2354
12/12/17,3.2323
12/11/17,3.2296
12/8/17,3.2274
12/7/17,3.2248
12/6/17,3.2221
12/5/17,3.2199
12/4/17,3.2178
12/1/17,3.2156
11/30/17,3.2132
11/29/17,3.2106
11/28/17,3.2079
11/27/17,3.206
11/24/17,3.2042
11/23/17,3.2021
11/22/17,3.1997
11/21/17,3.1969
11/20/17,3.1939
11/17/17,3.1911
11/16/17,3.1887
11/14/17,3.1859
11/13/17,3.1826
11/10/17,3.1802
11/9/17,3.1778
11/8/17,3.1762
11/7/17,3.1743
11/6/17,3.1718
