Date,Trade_balance
5/31/18,5981
4/30/18,5935
3/31/18,6420
2/28/18,5002
1/31/18,2816
12/31/17,4998
11/30/17,3546
10/31/17,5201
9/30/17,5178
8/31/17,5599
7/31/17,6298
6/30/17,7195
5/31/17,7661
4/30/17,6969
3/31/17,7145
2/28/17,4560
1/31/17,2724
12/31/16,4415
11/30/16,4756
10/31/16,2346
9/30/16,3802
8/31/16,4140
7/31/16,4577
6/30/16,3975
5/31/16,6439
4/30/16,4862
3/31/16,4435
2/29/16,3042
1/31/16,922
12/31/15,6239
11/30/15,1196
10/31/15,1995
9/30/15,2944
8/31/15,2689
7/31/15,2386
6/30/15,4527
5/31/15,2761
4/30/15,491
3/31/15,458
2/28/15,-2842
1/31/15,-3174
12/31/14,293
11/30/14,-2350
10/31/14,-1177
9/30/14,-939
8/31/14,1166
7/31/14,1574
6/30/14,2365
5/31/14,712
4/30/14,506
3/31/14,116
2/28/14,-2129
1/31/14,-4067
12/31/13,2640
11/30/13,1729
10/31/13,-240
9/30/13,1982
8/31/13,1215
7/31/13,-1907
6/30/13,2301
5/31/13,757
4/30/13,-1007
3/31/13,152
2/28/13,-1286
1/31/13,-4048
12/31/12,2243
11/30/12,-194
10/31/12,1650
9/30/12,2553
8/31/12,3221
7/31/12,2863
6/30/12,800
5/31/12,2960
4/30/12,879
3/31/12,2024
2/29/12,1703
1/31/12,-1308
12/31/11,3798
11/30/11,571
10/31/11,2362
9/30/11,3074
8/31/11,3138
7/31/11,3138
6/30/11,4429
5/31/11,3522
4/30/11,1860
3/31/11,1552
2/28/11,1192
1/31/11,397
12/31/10,5344
11/30/10,291
10/31/10,1827
9/30/10,1071
8/31/10,2390
7/31/10,1344
6/30/10,2267
5/31/10,3450
4/30/10,1282
3/31/10,673
2/28/10,389
1/31/10,-181
12/31/09,2169
11/30/09,611
10/31/09,1316
9/30/09,1308
8/31/09,3053
7/31/09,2911
6/30/09,4603
5/31/09,2623
4/30/09,3692
3/31/09,1756
2/28/09,1761
1/31/09,-530
12/31/08,2316
11/30/08,1634
10/31/08,1328
9/30/08,2757
8/31/08,2300
7/31/08,3328
6/30/08,2729
5/31/08,4076
4/30/08,1732
3/31/08,987
2/29/08,848
1/31/08,922
12/31/07,3639
11/30/07,2020
10/31/07,3429
9/30/07,3475
8/31/07,3541
7/31/07,3344
6/30/07,3822
5/31/07,3853
4/30/07,4181
3/31/07,3304
2/28/07,2901
1/31/07,2523
12/31/06,5052
11/30/06,3239
10/31/06,3951
9/30/06,4468
8/31/06,4554
7/31/06,5659
6/30/06,4098
5/31/06,3017
4/30/06,3090
3/31/06,3690
2/28/06,2803
1/31/06,2835
12/31/05,4350
11/30/05,4093
10/31/05,3695
9/30/05,4339
8/31/05,3670
7/31/05,5023
6/30/05,4052
5/31/05,3463
4/30/05,3889
3/31/05,3362
2/28/05,2793
1/31/05,2194
12/31/04,3527
11/30/04,2094
10/31/04,3021
9/30/04,3187
8/31/04,3450
7/31/04,3482
6/30/04,3818
5/31/04,3128
4/30/04,1971
3/31/04,2599
2/29/04,1972
1/31/04,1593
12/31/03,2764
11/30/03,1730
10/31/03,2549
9/30/03,2675
8/31/03,2683
7/31/03,2066
6/30/03,2362
5/31/03,2527
4/30/03,1731
3/31/03,1544
2/28/03,1120
1/31/03,1161
12/31/02,1808
11/30/02,1286
10/31/02,2199
9/30/02,2496
8/31/02,1584
7/31/02,1206
6/30/02,685
5/31/02,385
4/30/02,508
3/31/02,603
2/28/02,266
1/31/02,173
12/31/01,858
11/30/01,294
10/31/01,251
9/30/01,601
8/31/01,634
7/31/01,113
6/30/01,286
5/31/01,217
4/30/01,125
3/31/01,-274
2/28/01,82
1/31/01,-472
12/31/00,-205
11/30/00,-654
10/31/00,-548
9/30/00,-327
8/31/00,98
7/31/00,119
6/30/00,258
5/31/00,368
4/30/00,187
3/31/00,22
2/29/00,79
1/31/00,-115
12/31/99,225
11/30/99,-534
10/31/99,-156
9/30/99,-56
8/31/99,-189
7/31/99,85
6/30/99,-148
5/31/99,300
4/30/99,31
3/31/99,-228
2/28/99,101
1/31/99,-713
12/31/98,-515
11/30/98,-1026
10/31/98,-1444
9/30/98,-1188
8/31/98,-168
7/31/98,-424
6/30/98,185
5/31/98,-123
4/30/98,-53
3/31/98,-892
2/28/98,-227
1/31/98,-731
12/31/97,-765
11/30/97,-1287
10/31/97,-853
9/30/97,-848
8/31/97,-295
7/31/97,-550
6/30/97,-364
5/31/97,-62
4/30/97,-898.68
3/31/97,-902
2/28/97,-1103
1/31/97,1173
12/31/96,-1787
11/30/96,-853
10/31/96,-1308
9/30/96,-655
8/31/96,-291
7/31/96,-334
6/30/96,-327
5/31/96,269
4/30/96,197
3/31/96,-469
2/29/96,-29
1/31/96,33
12/31/95,-57
11/30/95,-89
10/31/95,329
9/30/95,480
8/31/95,97
7/31/95,1
6/30/95,-778
5/31/95,-692
4/30/95,-470
3/31/95,-922
2/28/95,-1061
1/31/95,-304
12/31/94,-809.8
11/30/94,-408.3
10/31/94,656.2
9/30/94,1521
8/31/94,1506.4
7/31/94,1223.7
6/30/94,1229.2
5/31/94,1237.2
4/30/94,1482.9
3/31/94,1101.5
2/28/94,748.2
1/31/94,978.5
12/31/93,854.4
11/30/93,1131.6
10/31/93,1146.2
9/30/93,1227.3
8/31/93,1161.8
7/31/93,652.9
6/30/93,946.1
5/31/93,1294.4
4/30/93,903.1
3/31/93,1508.1
2/28/93,1457.7
1/31/93,1015.1
12/31/92,1197.1
11/30/92,1514.7
10/31/92,1227.8
9/30/92,1372.4
8/31/92,1402.4
7/31/92,1484.9
6/30/92,1297.1
5/31/92,1351.7
4/30/92,1177.2
3/31/92,1429.2
2/29/92,867.5
1/31/92,916.8
12/31/91,705.3
11/30/91,452.1
10/31/91,407.9
9/30/91,397.7
8/31/91,652
7/31/91,771.8
6/30/91,973
5/31/91,1334.2
4/30/91,1404.7
3/31/91,1149.5
2/28/91,1024.8
1/31/91,1307
