Dates,BRL_FX_Spot,50d_200d_cross,CA,TB,rate,REER_discount,budget
6/20/02,2.8015,1,-3.55,385,18.8514,-0.114197571,-3.25
6/21/02,2.8305,1,-3.55,385,21.9522,-0.131145136,-3.25
6/24/02,2.774,1,-3.55,385,20.4583,-0.136942922,-3.25
6/25/02,2.829,1,-3.55,385,20.5171,-0.126761871,-3.25
6/26/02,2.8805,1,-3.55,385,20.613,-0.144215157,-3.25
6/27/02,2.831,1,-3.55,385,18.7997,-0.150601043,-3.25
6/28/02,2.8175,1,-3.55,385,13.96,-0.135580007,-3.25
7/1/02,2.893,1,-3.28,685,15.5656,-0.144503767,-3.55
7/2/02,2.901,1,-3.28,685,13.6974,-0.15775353,-3.55
7/3/02,2.85,1,-3.28,685,13.6974,-0.145380832,-3.55
7/4/02,2.8725,1,-3.28,685,13.6974,-0.144861544,-3.55
7/5/02,2.8785,1,-3.28,685,12.895,-0.145995405,-3.55
7/8/02,2.861,1,-3.28,685,12.89,-0.142616095,-3.55
7/9/02,2.8525,1,-3.28,685,12.715,-0.141642804,-3.55
7/10/02,2.8485,1,-3.28,685,15.2919,-0.142170721,-3.55
7/11/02,2.8015,1,-3.28,685,14.8267,-0.134271171,-3.55
7/12/02,2.81,1,-3.28,685,14.6646,-0.128635885,-3.55
7/15/02,2.8555,1,-3.28,685,13.209,-0.144077792,-3.55
7/16/02,2.877,1,-3.28,685,11.7879,-0.148369845,-3.55
7/17/02,2.896,1,-3.28,685,11.7139,-0.154923566,-3.55
7/18/02,2.85,1,-3.28,685,12.2817,-0.144130371,-3.55
7/19/02,2.869,1,-3.28,685,9.5267,-0.147533097,-3.55
7/22/02,2.9025,1,-3.28,685,7.4678,-0.147764664,-3.55
7/23/02,2.9225,1,-3.28,685,6.2563,-0.149356938,-3.55
7/24/02,2.9435,1,-3.28,685,5.9985,-0.156537604,-3.55
7/25/02,2.9955,1,-3.28,685,5.7214,-0.174917762,-3.55
7/26/02,3.0125,1,-3.28,685,6.3917,-0.174972683,-3.55
7/29/02,3.175,1,-3.28,685,6.3917,-0.202760348,-3.55
7/30/02,3.3465,1,-3.28,685,6.3917,-0.235101284,-3.55
7/31/02,3.46,1,-3.28,1206,6.3917,-0.278832374,-3.55
8/1/02,3.12,1,-3.28,1206,6.3917,-0.232913738,-3.55
8/2/02,3.005,1,-3.28,1206,6.3917,-0.185773165,-3.55
8/5/02,3.165,1,-3.28,1206,6.3917,-0.188858797,-3.55
8/6/02,3.11,1,-3.28,1206,6.3917,-0.214019569,-3.55
8/7/02,3.0175,1,-3.28,1206,6.3917,-0.17898898,-3.55
8/8/02,2.925,1,-3.28,1206,6.3917,-0.132365204,-3.55
8/9/02,3.02,1,-3.28,1206,6.3917,-0.15867709,-3.55
8/12/02,3.145,1,-3.28,1206,6.3917,-0.191081381,-3.55
8/13/02,3.1625,1,-3.28,1206,6.3917,-0.206212813,-3.55
8/14/02,3.195,1,-3.28,1206,6.3917,-0.211560989,-3.55
8/15/02,3.2075,1,-3.28,1206,6.3917,-0.212174259,-3.55
8/16/02,3.12,1,-3.28,1206,6.3917,-0.196550256,-3.55
8/19/02,3.101,1,-3.28,1206,6.3917,-0.177872477,-3.55
8/20/02,3.0985,1,-3.28,1206,6.3917,-0.177610283,-3.55
8/21/02,3.081,1,-3.28,1206,9.6574,-0.175808863,-3.55
8/22/02,3.1395,1,-3.28,1206,6.8594,-0.196886621,-3.55
8/23/02,3.108,1,-3.28,1206,7.1914,-0.17646813,-3.55
8/26/02,3.09,1,-3.28,1206,6.7032,-0.161762264,-3.55
8/27/02,3.119,1,-3.28,1206,8.9168,-0.172125791,-3.55
8/28/02,3.124,1,-3.28,1206,6.05,-0.186348518,-3.55
8/29/02,3.057,1,-3.28,1206,8.751,-0.185924047,-3.55
8/30/02,3.006,1,-3.28,1206,8.5886,-0.150186703,-3.55
9/2/02,3.06,1,-3.28,1584,7.7525,-0.149638786,-3.55
9/3/02,3.1,1,-3.28,1584,6.6517,-0.179813266,-3.55
9/4/02,3.115,1,-3.28,1584,5.6066,-0.186028751,-3.55
9/5/02,3.1525,1,-3.28,1584,6.4132,-0.187761221,-3.55
9/6/02,3.1585,1,-3.28,1584,6.0415,-0.193666035,-3.55
9/9/02,3.1005,1,-3.28,1584,7.1929,-0.176341973,-3.55
9/10/02,3.1265,1,-3.28,1584,8.1335,-0.180097516,-3.55
9/11/02,3.11,1,-3.28,1584,5.6434,-0.169738471,-3.55
9/12/02,3.1245,1,-3.28,1584,6.068,-0.171183224,-3.55
9/13/02,3.1595,1,-3.28,1584,6.9678,-0.178058153,-3.55
9/16/02,3.215,1,-3.28,1584,6.9176,-0.187572785,-3.55
9/17/02,3.275,1,-3.28,1584,4.7822,-0.194438338,-3.55
9/18/02,3.3525,1,-3.28,1584,2.9328,-0.224965519,-3.55
9/19/02,3.454,1,-3.28,1584,2.9328,-0.240066691,-3.55
9/20/02,3.4025,1,-3.28,1584,2.5107,-0.242850427,-3.55
9/23/02,3.5665,1,-3.28,1584,2.5107,-0.269988293,-3.55
9/24/02,3.7535,1,-3.28,1584,2.4415,-0.276519836,-3.55
9/25/02,3.698,1,-3.28,1584,2.4415,-0.295727376,-3.55
9/26/02,3.771,1,-3.28,1584,4.9059,-0.304626487,-3.55
9/27/02,3.8725,1,-3.28,1584,2.8582,-0.316366011,-3.55
9/30/02,3.7395,1,-2.19,2496,4.3818,-0.310538211,-3.31
10/1/02,3.599,1,-2.19,2496,6.1251,-0.29025672,-3.31
10/2/02,3.66,1,-2.19,2496,6.5518,-0.269019455,-3.31
