Date,BRL_spot_FX_rate
6/8/18,3.7083
6/7/18,3.9071
6/6/18,3.851
6/5/18,3.8094
6/4/18,3.7456
6/1/18,3.7655
5/30/18,3.7239
5/29/18,3.7276
5/28/18,3.7375
5/25/18,3.6536
5/24/18,3.6474
5/23/18,3.6288
5/22/18,3.648
5/21/18,3.6771
5/18/18,3.7375
5/17/18,3.6972
5/16/18,3.6747
5/15/18,3.6553
5/14/18,3.6221
5/11/18,3.6002
5/10/18,3.5496
5/9/18,3.5926
5/8/18,3.5632
5/7/18,3.5503
5/4/18,3.5285
5/3/18,3.5272
5/2/18,3.5518
4/30/18,3.5063
4/27/18,3.4578
4/26/18,3.4753
4/25/18,3.4848
4/24/18,3.4724
4/23/18,3.4525
4/20/18,3.4135
4/19/18,3.3849
4/18/18,3.3802
4/17/18,3.4078
4/16/18,3.4187
4/13/18,3.423
4/12/18,3.4129
4/11/18,3.3745
4/10/18,3.4098
4/9/18,3.4219
4/6/18,3.3694
4/5/18,3.3457
4/4/18,3.3303
4/3/18,3.341
4/2/18,3.3132
3/29/18,3.3063
3/28/18,3.3216
3/27/18,3.3262
3/26/18,3.3143
3/23/18,3.3123
3/22/18,3.3147
3/21/18,3.273
3/20/18,3.3115
3/19/18,3.2867
3/16/18,3.2802
3/15/18,3.2862
3/14/18,3.261
3/13/18,3.2613
3/12/18,3.2616
3/9/18,3.2555
3/8/18,3.2645
3/7/18,3.2433
3/6/18,3.2109
3/5/18,3.243
3/2/18,3.2532
3/1/18,3.2515
2/28/18,3.2475
2/27/18,3.2505
2/26/18,3.2249
2/23/18,3.2389
2/22/18,3.2517
2/21/18,3.2663
2/20/18,3.2527
2/19/18,3.2335
2/16/18,3.2311
2/15/18,3.2317
2/14/18,3.2246
2/9/18,3.3011
2/8/18,3.2857
2/7/18,3.272
2/6/18,3.2349
2/5/18,3.2534
2/2/18,3.2191
2/1/18,3.17
1/31/18,3.1875
1/30/18,3.1812
1/29/18,3.1555
1/26/18,3.1478
1/25/18,3.1486
1/24/18,3.1418
1/23/18,3.2385
1/22/18,3.2038
1/19/18,3.1964
1/18/18,3.2109
1/17/18,3.2223
1/16/18,3.2241
1/15/18,3.2154
1/12/18,3.2054
1/11/18,3.214
1/10/18,3.2352
1/9/18,3.2492
1/8/18,3.2368
1/5/18,3.2293
1/4/18,3.2309
1/3/18,3.238
1/2/18,3.2616
12/29/17,3.3125
12/28/17,3.3127
12/27/17,3.3166
12/26/17,3.3092
12/22/17,3.3376
12/21/17,3.3066
12/20/17,3.2961
12/19/17,3.2911
12/18/17,3.2889
12/15/17,3.3024
12/14/17,3.3353
12/13/17,3.3174
12/12/17,3.3192
12/11/17,3.3038
12/8/17,3.2935
12/7/17,3.2933
12/6/17,3.2353
12/5/17,3.2429
12/4/17,3.2454
12/1/17,3.2578
11/30/17,3.2681
11/29/17,3.244
11/28/17,3.2135
11/27/17,3.2262
11/24/17,3.2322
11/23/17,3.2225
11/22/17,3.2248
11/21/17,3.2541
11/20/17,3.2574
11/17/17,3.2593
11/16/17,3.2775
11/14/17,3.3152
11/13/17,3.2794
11/10/17,3.2837
11/9/17,3.2505
11/8/17,3.2505
11/7/17,3.2729
11/6/17,3.2519
11/3/17,3.3138
11/1/17,3.266
10/31/17,3.2713
10/30/17,3.2805
10/27/17,3.2356
10/26/17,3.2973
10/25/17,3.2348
10/24/17,3.2474
10/23/17,3.2354
10/20/17,3.1938
10/19/17,3.1708
10/18/17,3.1707
10/17/17,3.1605
10/16/17,3.1694
10/13/17,3.146
10/11/17,3.173
10/10/17,3.1804
10/9/17,3.1883
10/6/17,3.1555
10/5/17,3.1539
10/4/17,3.1349
10/3/17,3.1438
10/2/17,3.1546
9/29/17,3.1625
9/28/17,3.1829
9/27/17,3.1932
9/26/17,3.1662
9/25/17,3.1597
9/22/17,3.125
9/21/17,3.1382
9/20/17,3.1335
9/19/17,3.1355
9/18/17,3.1376
9/15/17,3.1104
9/14/17,3.1209
9/13/17,3.1353
9/12/17,3.1262
9/11/17,3.1029
9/8/17,3.0872
9/6/17,3.1002
9/5/17,3.1174
9/4/17,3.1393
9/1/17,3.1404
8/31/17,3.1491
8/30/17,3.1596
8/29/17,3.1646
8/28/17,3.1669
8/25/17,3.159
8/24/17,3.1482
8/23/17,3.1424
8/22/17,3.163
8/21/17,3.1651
8/18/17,3.1472
8/17/17,3.1753
8/16/17,3.1524
8/15/17,3.1702
8/14/17,3.1901
8/11/17,3.1937
8/10/17,3.176
8/9/17,3.1557
8/8/17,3.1265
8/7/17,3.126
8/4/17,3.1318
8/3/17,3.1146
8/2/17,3.1137
8/1/17,3.1265
7/31/17,3.1254
7/28/17,3.1316
7/27/17,3.1507
7/26/17,3.1384
7/25/17,3.1725
7/24/17,3.1466
7/21/17,3.1433
7/20/17,3.1213
7/19/17,3.1488
7/18/17,3.1565
7/17/17,3.1824
7/14/17,3.1796
7/13/17,3.2116
7/12/17,3.2084
7/11/17,3.2545
7/10/17,3.2557
7/7/17,3.2811
7/6/17,3.2984
7/5/17,3.2891
7/4/17,3.3096
7/3/17,3.3018
6/30/17,3.3082
6/29/17,3.3029
6/28/17,3.2797
6/27/17,3.314
6/26/17,3.2968
6/23/17,3.3427
6/22/17,3.3422
6/21/17,3.3358
6/20/17,3.3274
6/19/17,3.2828
6/16/17,3.2919
6/14/17,3.2752
6/13/17,3.3144
6/12/17,3.3189
6/9/17,3.2968
6/8/17,3.2615
6/7/17,3.2696
6/6/17,3.2782
6/5/17,3.2966
6/2/17,3.2457
6/1/17,3.2504
5/31/17,3.227
5/30/17,3.2579
5/29/17,3.2569
5/26/17,3.2602
5/25/17,3.2752
5/24/17,3.2776
5/23/17,3.2702
5/22/17,3.2666
5/19/17,3.2543
5/18/17,3.3758
5/17/17,3.1391
5/16/17,3.0968
5/15/17,3.1094
5/12/17,3.1224
5/11/17,3.1399
5/10/17,3.1674
5/9/17,3.1894
5/8/17,3.1981
5/5/17,3.1775
5/4/17,3.1887
5/3/17,3.1662
5/2/17,3.1514
4/28/17,3.1768
4/27/17,3.1846
4/26/17,3.1743
4/25/17,3.1472
4/24/17,3.1279
4/20/17,3.1473
4/19/17,3.1529
4/18/17,3.1081
4/17/17,3.1001
4/13/17,3.1442
4/12/17,3.1256
4/11/17,3.1374
4/10/17,3.1316
4/7/17,3.1464
4/6/17,3.1434
4/5/17,3.1206
4/4/17,3.0935
4/3/17,3.1146
3/31/17,3.122
3/30/17,3.1508
3/29/17,3.1197
3/28/17,3.1413
3/27/17,3.1266
3/24/17,3.108
3/23/17,3.1407
3/22/17,3.0879
3/21/17,3.0879
3/20/17,3.0724
3/17/17,3.0916
3/16/17,3.119
3/15/17,3.1037
3/14/17,3.1691
3/13/17,3.1529
3/10/17,3.1419
3/9/17,3.193
3/8/17,3.1704
3/7/17,3.1193
3/6/17,3.1375
3/3/17,3.1155
3/2/17,3.1534
3/1/17,3.0938
2/24/17,3.1104
2/23/17,3.0631
2/22/17,3.0646
2/21/17,3.0964
2/20/17,3.0878
2/17/17,3.0978
2/16/17,3.0898
2/15/17,3.0574
2/14/17,3.0852
2/13/17,3.1103
2/10/17,3.1151
2/9/17,3.1273
2/8/17,3.1156
2/7/17,3.121
2/6/17,3.1193
2/3/17,3.123
2/2/17,3.1217
2/1/17,3.1281
1/31/17,3.1486
1/30/17,3.1265
1/27/17,3.1409
1/26/17,3.1744
1/25/17,3.1701
1/24/17,3.1705
1/23/17,3.1646
1/20/17,3.1743
1/19/17,3.2018
1/18/17,3.2232
1/17/17,3.2116
1/16/17,3.2414
1/13/17,3.2176
1/12/17,3.1868
1/11/17,3.197
1/10/17,3.1941
1/9/17,3.1997
1/6/17,3.2226
1/5/17,3.1988
1/4/17,3.2213
1/3/17,3.265
1/2/17,3.2859
12/30/16,3.2552
12/29/16,3.2538
12/28/16,3.2778
12/27/16,3.2734
12/26/16,3.28
12/23/16,3.2703
12/22/16,3.2916
12/21/16,3.3309
12/20/16,3.3503
12/19/16,3.3695
12/16/16,3.3879
12/15/16,3.3651
12/14/16,3.3715
12/13/16,3.3344
12/12/16,3.3377
12/9/16,3.3802
12/8/16,3.3753
12/7/16,3.3925
12/6/16,3.41
12/5/16,3.423
12/2/16,3.4769
12/1/16,3.4645
11/30/16,3.3858
11/29/16,3.3928
11/28/16,3.3876
11/25/16,3.4141
11/24/16,3.3968
11/23/16,3.3903
11/22/16,3.3563
11/21/16,3.3516
11/18/16,3.3818
11/17/16,3.4211
11/16/16,3.4262
11/14/16,3.4344
11/11/16,3.4023
11/10/16,3.3932
11/9/16,3.2254
11/8/16,3.1686
11/7/16,3.2061
11/4/16,3.2362
11/3/16,3.242
11/1/16,3.2317
10/31/16,3.1936
10/28/16,3.2006
10/27/16,3.1665
10/26/16,3.1405
10/25/16,3.1127
10/24/16,3.1223
10/21/16,3.1563
10/20/16,3.142
10/19/16,3.169
10/18/16,3.1877
10/17/16,3.2046
10/14/16,3.2062
10/13/16,3.1787
10/11/16,3.1954
10/10/16,3.2065
10/7/16,3.2212
10/6/16,3.228
10/5/16,3.2213
10/4/16,3.258
10/3/16,3.2099
9/30/16,3.2624
9/29/16,3.2597
9/28/16,3.2167
9/27/16,3.2343
9/26/16,3.2424
9/23/16,3.244
9/22/16,3.2206
9/21/16,3.2069
9/20/16,3.2589
9/19/16,3.273
9/16/16,3.2629
9/15/16,3.3026
9/14/16,3.3448
9/13/16,3.314
9/12/16,3.2476
9/9/16,3.2741
9/8/16,3.2143
9/6/16,3.1964
9/5/16,3.2834
9/2/16,3.2569
9/1/16,3.2573
8/31/16,3.2267
8/30/16,3.2401
8/29/16,3.2307
8/26/16,3.2657
8/25/16,3.2345
8/24/16,3.2249
8/23/16,3.2351
8/22/16,3.2007
8/19/16,3.205
8/18/16,3.2392
8/17/16,3.2064
8/16/16,3.2022
8/15/16,3.1864
8/12/16,3.1922
8/11/16,3.1444
8/10/16,3.1274
8/9/16,3.1454
8/8/16,3.1728
8/5/16,3.1655
8/4/16,3.1934
8/3/16,3.2385
8/2/16,3.2591
8/1/16,3.2655
7/29/16,3.2489
7/28/16,3.2918
7/27/16,3.2619
7/26/16,3.2761
7/25/16,3.286
7/22/16,3.2565
7/21/16,3.2719
7/20/16,3.26
7/19/16,3.2498
7/18/16,3.2537
7/15/16,3.2802
7/14/16,3.2526
7/13/16,3.2643
7/12/16,3.2956
7/11/16,3.3094
7/8/16,3.3
7/7/16,3.3675
7/6/16,3.33
7/5/16,3.3033
7/4/16,3.2696
7/1/16,3.2364
6/30/16,3.213
6/29/16,3.2206
6/28/16,3.3032
6/27/16,3.3928
6/24/16,3.3748
6/23/16,3.3376
6/22/16,3.3777
6/21/16,3.4133
6/20/16,3.3947
6/17/16,3.416
6/16/16,3.466
6/15/16,3.474
6/14/16,3.4822
6/13/16,3.4826
6/10/16,3.4196
6/9/16,3.4002
6/8/16,3.3622
6/7/16,3.4423
6/6/16,3.4894
6/3/16,3.5273
6/2/16,3.5935
6/1/16,3.6015
5/31/16,3.6116
5/30/16,3.5698
5/27/16,3.6115
5/25/16,3.5835
5/24/16,3.5716
5/23/16,3.5727
5/20/16,3.5212
5/19/16,3.5645
5/18/16,3.5654
5/17/16,3.4888
5/16/16,3.5014
5/13/16,3.5335
5/12/16,3.483
5/11/16,3.4518
5/10/16,3.4764
5/9/16,3.5164
5/6/16,3.5019
5/5/16,3.5346
5/4/16,3.5489
5/3/16,3.5586
5/2/16,3.5017
4/29/16,3.4358
4/28/16,3.489
4/27/16,3.5271
4/26/16,3.5295
