Input_Date,BRL_spot_FX_rate
2018-06-08,3.7083
2018-06-07,3.9071
2018-06-06,3.851
2018-06-05,3.8094
2018-06-04,3.7456
2018-06-01,3.7655
2018-05-30,3.7239
2018-05-29,3.7276
2018-05-28,3.7375
2018-05-25,3.6536
2018-05-24,3.6474
2018-05-23,3.6288
2018-05-22,3.648
2018-05-21,3.6771
2018-05-18,3.7375
2018-05-17,3.6972
2018-05-16,3.6747
2018-05-15,3.6553
2018-05-14,3.6221
2018-05-11,3.6002
2018-05-10,3.5496
2018-05-09,3.5926
2018-05-08,3.5632
2018-05-07,3.5503
2018-05-04,3.5285
2018-05-03,3.5272
2018-05-02,3.5518
2018-04-30,3.5063
2018-04-27,3.4578
2018-04-26,3.4753
2018-04-25,3.4848
2018-04-24,3.4724
2018-04-23,3.4525
2018-04-20,3.4135
2018-04-19,3.3849
2018-04-18,3.3802
2018-04-17,3.4078
2018-04-16,3.4187
2018-04-13,3.423
2018-04-12,3.4129
2018-04-11,3.3745
2018-04-10,3.4098
2018-04-09,3.4219
2018-04-06,3.3694
2018-04-05,3.3457
2018-04-04,3.3303
2018-04-03,3.341
2018-04-02,3.3132
2018-03-29,3.3063
2018-03-28,3.3216
2018-03-27,3.3262
2018-03-26,3.3143
2018-03-23,3.3123
2018-03-22,3.3147
2018-03-21,3.273
2018-03-20,3.3115
2018-03-19,3.2867
2018-03-16,3.2802
2018-03-15,3.2862
2018-03-14,3.261
2018-03-13,3.2613
2018-03-12,3.2616
2018-03-09,3.2555
2018-03-08,3.2645
2018-03-07,3.2433
2018-03-06,3.2109
2018-03-05,3.243
2018-03-02,3.2532
2018-03-01,3.2515
2018-02-28,3.2475
2018-02-27,3.2505
2018-02-26,3.2249
2018-02-23,3.2389
2018-02-22,3.2517
2018-02-21,3.2663
2018-02-20,3.2527
2018-02-19,3.2335
2018-02-16,3.2311
2018-02-15,3.2317
2018-02-14,3.2246
2018-02-09,3.3011
2018-02-08,3.2857
2018-02-07,3.272
2018-02-06,3.2349
2018-02-05,3.2534
2018-02-02,3.2191
2018-02-01,3.17
2018-01-31,3.1875
2018-01-30,3.1812
2018-01-29,3.1555
2018-01-26,3.1478
2018-01-25,3.1486
2018-01-24,3.1418
2018-01-23,3.2385
2018-01-22,3.2038
2018-01-19,3.1964
2018-01-18,3.2109
2018-01-17,3.2223
2018-01-16,3.2241
2018-01-15,3.2154
2018-01-12,3.2054
2018-01-11,3.214
2018-01-10,3.2352
2018-01-09,3.2492
2018-01-08,3.2368
2018-01-05,3.2293
2018-01-04,3.2309
2018-01-03,3.238
2018-01-02,3.2616
2017-12-29,3.3125
2017-12-28,3.3127
2017-12-27,3.3166
2017-12-26,3.3092
2017-12-22,3.3376
2017-12-21,3.3066
2017-12-20,3.2961
2017-12-19,3.2911
2017-12-18,3.2889
2017-12-15,3.3024
2017-12-14,3.3353
2017-12-13,3.3174
2017-12-12,3.3192
2017-12-11,3.3038
2017-12-08,3.2935
2017-12-07,3.2933
2017-12-06,3.2353
2017-12-05,3.2429
2017-12-04,3.2454
2017-12-01,3.2578
2017-11-30,3.2681
2017-11-29,3.244
2017-11-28,3.2135
2017-11-27,3.2262
2017-11-24,3.2322
2017-11-23,3.2225
2017-11-22,3.2248
2017-11-21,3.2541
2017-11-20,3.2574
2017-11-17,3.2593
2017-11-16,3.2775
2017-11-14,3.3152
2017-11-13,3.2794
2017-11-10,3.2837
2017-11-09,3.2505
2017-11-08,3.2505
2017-11-07,3.2729
2017-11-06,3.2519
2017-11-03,3.3138
2017-11-01,3.266
2017-10-31,3.2713
2017-10-30,3.2805
2017-10-27,3.2356
2017-10-26,3.2973
2017-10-25,3.2348
2017-10-24,3.2474
2017-10-23,3.2354
2017-10-20,3.1938
2017-10-19,3.1708
2017-10-18,3.1707
2017-10-17,3.1605
2017-10-16,3.1694
2017-10-13,3.146
2017-10-11,3.173
2017-10-10,3.1804
2017-10-09,3.1883
2017-10-06,3.1555
2017-10-05,3.1539
2017-10-04,3.1349
2017-10-03,3.1438
2017-10-02,3.1546
2017-09-29,3.1625
2017-09-28,3.1829
2017-09-27,3.1932
2017-09-26,3.1662
2017-09-25,3.1597
2017-09-22,3.125
2017-09-21,3.1382
2017-09-20,3.1335
2017-09-19,3.1355
2017-09-18,3.1376
2017-09-15,3.1104
2017-09-14,3.1209
2017-09-13,3.1353
2017-09-12,3.1262
2017-09-11,3.1029
2017-09-08,3.0872
2017-09-06,3.1002
2017-09-05,3.1174
2017-09-04,3.1393
2017-09-01,3.1404
2017-08-31,3.1491
2017-08-30,3.1596
2017-08-29,3.1646
2017-08-28,3.1669
2017-08-25,3.159
2017-08-24,3.1482
2017-08-23,3.1424
2017-08-22,3.163
2017-08-21,3.1651
2017-08-18,3.1472
2017-08-17,3.1753
2017-08-16,3.1524
2017-08-15,3.1702
2017-08-14,3.1901
2017-08-11,3.1937
2017-08-10,3.176
2017-08-09,3.1557
2017-08-08,3.1265
2017-08-07,3.126
2017-08-04,3.1318
2017-08-03,3.1146
2017-08-02,3.1137
2017-08-01,3.1265
2017-07-31,3.1254
2017-07-28,3.1316
2017-07-27,3.1507
2017-07-26,3.1384
2017-07-25,3.1725
2017-07-24,3.1466
2017-07-21,3.1433
2017-07-20,3.1213
2017-07-19,3.1488
2017-07-18,3.1565
2017-07-17,3.1824
2017-07-14,3.1796
2017-07-13,3.2116
2017-07-12,3.2084
2017-07-11,3.2545
2017-07-10,3.2557
2017-07-07,3.2811
2017-07-06,3.2984
2017-07-05,3.2891
2017-07-04,3.3096
2017-07-03,3.3018
2017-06-30,3.3082
2017-06-29,3.3029
2017-06-28,3.2797
2017-06-27,3.314
2017-06-26,3.2968
2017-06-23,3.3427
2017-06-22,3.3422
2017-06-21,3.3358
2017-06-20,3.3274
2017-06-19,3.2828
2017-06-16,3.2919
2017-06-14,3.2752
2017-06-13,3.3144
2017-06-12,3.3189
2017-06-09,3.2968
2017-06-08,3.2615
2017-06-07,3.2696
2017-06-06,3.2782
2017-06-05,3.2966
2017-06-02,3.2457
2017-06-01,3.2504
2017-05-31,3.227
2017-05-30,3.2579
2017-05-29,3.2569
2017-05-26,3.2602
2017-05-25,3.2752
2017-05-24,3.2776
2017-05-23,3.2702
2017-05-22,3.2666
