Date,Current_account
3/31/18,-0.4
12/31/17,-0.48
9/30/17,-0.62
6/30/17,-0.72
3/31/17,-1.03
12/31/16,-1.29
9/30/16,-1.4
6/30/16,-1.81
3/31/16,-2.48
12/31/15,-3.19
9/30/15,-3.88
6/30/15,-4.19
3/31/15,-4.37
12/31/14,-4.3
9/30/14,-3.81
6/30/14,-3.61
3/31/14,-3.33
12/31/13,-3.05
9/30/13,-3.18
6/30/13,-3.06
3/31/13,-3.29
12/31/12,-3.04
9/30/12,-2.91
6/30/12,-3.01
3/31/12,-2.8
12/31/11,-2.95
9/30/11,-2.93
6/30/11,-3.04
3/31/11,-3.31
12/31/10,-3.42
9/30/10,-3.18
6/30/10,-2.66
3/31/10,-1.99
12/31/09,-1.5
9/30/09,-1.27
6/30/09,-1.21
3/31/09,-1.42
12/31/08,-1.65
9/30/08,-1.42
6/30/08,-1.04
3/31/08,-0.53
12/31/07,0.13
9/30/07,0.54
6/30/07,1.1
3/31/07,1.07
12/31/06,1.22
9/30/06,1.25
6/30/06,1.14
3/31/06,1.34
12/31/05,1.53
9/30/05,1.51
6/30/05,1.66
3/31/05,1.83
12/31/04,1.77
9/30/04,1.57
6/30/04,1.31
3/31/04,0.94
12/31/03,0.72
9/30/03,0.65
6/30/03,0.3
3/31/03,-0.62
12/31/02,-1.2
9/30/02,-2.19
6/30/02,-3.28
3/31/02,-3.55
12/31/01,-4.1
9/30/01,-4.39
6/30/01,-4.28
3/31/01,-4.17
12/31/00,-3.73
9/30/00,-3.6
6/30/00,-3.82
3/31/00,-3.86
12/31/99,-4.26
9/30/99,-4.31
6/30/99,-4.46
3/31/99,-4.17
12/31/98,-3.89
9/30/98,-3.74
6/30/98,-3.55
3/31/98,-3.61
12/31/97,-3.46
9/30/97,-3.35
6/30/97,-3.22
3/31/97,-2.86
12/31/96,-2.78
9/30/96,-2.11
6/30/96,-1.75
3/31/96,-2.07
12/31/95,-2.38
